Start Point,End Point,Steps,Distance (m),Time (s),Path,Specific Path
시작점,매점,232,141.4,171.0,시작점 → 매점,시작점 → 계단 1 → 복도 1 → 매점
시작점,매점,180,140.2,111.0,시작점 → 매점,시작점 → 복도 4 → 계단 2 → 복도 1 → 매점
시작점,매점,159,128.3,97.0,시작점 → 매점,시작점 → 복도 4 → 계단 3 → 복도 1 → 매점
시작점,매점,180,140.2,111.0,시작점 → 매점,시작점 → 복도 4 → 계단 2 → 복도 1 → 매점
시작점,매점,159,128.3,97.0,시작점 → 매점,시작점 → 복도 4 → 계단 3 → 복도 1 → 매점
시작점,매점,232,141.4,171.0,시작점 → 매점,시작점 → 계단 1 → 복도 1 → 매점
시작점,매점,159,128.3,97.0,시작점 → 매점,시작점 → 복도 4 → 계단 3 → 복도 1 → 매점
시작점,매점,232,141.4,171.0,시작점 → 매점,시작점 → 계단 1 → 복도 1 → 매점
시작점,매점,159,128.3,97.0,시작점 → 매점,시작점 → 복도 4 → 계단 3 → 복도 1 → 매점
시작점,매점,159,128.3,97.0,시작점 → 매점,시작점 → 복도 4 → 계단 3 → 복도 1 → 매점
시작점,도서관,220,160.0,172.0,시작점 → 도서관,시작점 → 도서관 계단 → 복도 2 → 도서관
시작점,도서관,175,158.2,109.0,시작점 → 도서관,시작점 → 복도 4 → 계단 2 → 복도 2 → 도서관
시작점,도서관,175,158.2,109.0,시작점 → 도서관,시작점 → 복도 4 → 계단 2 → 복도 2 → 도서관
시작점,도서관,157,145.3,95.0,시작점 → 도서관,시작점 → 복도 4 → 계단 3 → 복도 2 → 도서관
시작점,도서관,157,145.3,95.0,시작점 → 도서관,시작점 → 복도 4 → 계단 3 → 복도 2 → 도서관
시작점,도서관,220,160.0,172.0,시작점 → 도서관,시작점 → 도서관 계단 → 복도 2 → 도서관
시작점,도서관,175,158.2,109.0,시작점 → 도서관,시작점 → 복도 4 → 계단 2 → 복도 2 → 도서관
시작점,도서관,157,145.3,95.0,시작점 → 도서관,시작점 → 복도 4 → 계단 3 → 복도 2 → 도서관
시작점,도서관,157,145.3,95.0,시작점 → 도서관,시작점 → 복도 4 → 계단 3 → 복도 2 → 도서관
시작점,도서관,157,145.3,95.0,시작점 → 도서관,시작점 → 복도 4 → 계단 3 → 복도 2 → 도서관
시작점,학교 정문,187,179.2,117.0,시작점 → 학교 정문,시작점 → 복도 4 → 계단 2 → 복도 1 → 학교 정문
시작점,학교 정문,256,180.4,169.0,시작점 → 학교 정문,시작점 → 계단 1 → 복도 1 → 학교 정문
시작점,학교 정문,167,167.3,103.0,시작점 → 학교 정문,시작점 → 복도 4 → 계단 3 → 복도 1 → 학교 정문
시작점,학교 정문,256,180.4,169.0,시작점 → 학교 정문,시작점 → 계단 1 → 복도 1 → 학교 정문
시작점,학교 정문,167,167.3,103.0,시작점 → 학교 정문,시작점 → 복도 4 → 계단 3 → 복도 1 → 학교 정문
시작점,학교 정문,167,167.3,103.0,시작점 → 학교 정문,시작점 → 복도 4 → 계단 3 → 복도 1 → 학교 정문
시작점,학교 정문,187,179.2,117.0,시작점 → 학교 정문,시작점 → 복도 4 → 계단 2 → 복도 1 → 학교 정문
시작점,학교 정문,167,167.3,103.0,시작점 → 학교 정문,시작점 → 복도 4 → 계단 3 → 복도 1 → 학교 정문
시작점,학교 정문,187,179.2,117.0,시작점 → 학교 정문,시작점 → 복도 4 → 계단 2 → 복도 1 → 학교 정문
시작점,학교 정문,187,179.2,117.0,시작점 → 학교 정문,시작점 → 복도 4 → 계단 2 → 복도 1 → 학교 정문
매점,시작점,317,221.9,158.0,매점 → 시작점,매점 → 복도 1 → 계단 1 → 시작점
매점,시작점,301,210.7,154.4,매점 → 시작점,매점 → 복도 1 → 계단 1 → 시작점
매점,시작점,369,258.3,186.8,매점 → 시작점,매점 → 복도 1 → 계단 1 → 시작점
매점,시작점,370,259.0,180.9,매점 → 시작점,매점 → 복도 1 → 계단 1 → 시작점
매점,시작점,314,219.8,157.2,매점 → 시작점,매점 → 복도 1 → 계단 1 → 시작점
매점,시작점,289,202.3,142.8,매점 → 시작점,매점 → 복도 1 → 계단 1 → 시작점
매점,시작점,307,214.9,156.0,매점 → 시작점,매점 → 복도 1 → 계단 1 → 시작점
매점,시작점,466,326.2,236.3,매점 → 시작점,매점 → 복도 1 → 계단 1 → 시작점
매점,시작점,316,221.2,155.8,매점 → 시작점,매점 → 복도 1 → 계단 1 → 시작점
매점,시작점,479,335.3,237.3,매점 → 시작점,매점 → 복도 1 → 계단 1 → 시작점
매점,도서관,256,179.2,131.0,매점 → 도서관,매점 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
매점,도서관,164,114.8,77.2,매점 → 도서관,매점 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
매점,도서관,108,75.6,56.7,매점 → 도서관,매점 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
매점,도서관,235,164.5,112.6,매점 → 도서관,매점 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
매점,도서관,238,166.6,116.0,매점 → 도서관,매점 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
매점,도서관,491,343.7,247.8,매점 → 도서관,매점 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
매점,도서관,388,271.6,195.1,매점 → 도서관,매점 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
매점,도서관,330,231.0,166.5,매점 → 도서관,매점 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
매점,도서관,127,88.9,67.1,매점 → 도서관,매점 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
매점,도서관,427,298.9,213.0,매점 → 도서관,매점 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
매점,학교 정문,132,92.4,61.6,매점 → 학교 정문,매점 → 복도 1 → 학교 정문
매점,학교 정문,161,112.7,78.8,매점 → 학교 정문,매점 → 복도 1 → 학교 정문
매점,학교 정문,198,138.6,99.9,매점 → 학교 정문,매점 → 복도 1 → 학교 정문
매점,학교 정문,313,219.1,160.4,매점 → 학교 정문,매점 → 복도 1 → 학교 정문
매점,학교 정문,326,228.2,159.2,매점 → 학교 정문,매점 → 복도 1 → 학교 정문
매점,학교 정문,230,161.0,117.6,매점 → 학교 정문,매점 → 복도 1 → 학교 정문
매점,학교 정문,317,221.9,155.9,매점 → 학교 정문,매점 → 복도 1 → 학교 정문
매점,학교 정문,497,347.9,248.4,매점 → 학교 정문,매점 → 복도 1 → 학교 정문
매점,학교 정문,492,344.4,248.1,매점 → 학교 정문,매점 → 복도 1 → 학교 정문
매점,학교 정문,445,311.5,217.8,매점 → 학교 정문,매점 → 복도 1 → 학교 정문
도서관,시작점,278,194.6,134.3,도서관 → 시작점,도서관 → 복도 2 → 도서관 계단 → 복도 4 → 시작점
도서관,시작점,330,231.0,164.8,도서관 → 시작점,도서관 → 복도 2 → 도서관 계단 → 복도 4 → 시작점
도서관,시작점,195,136.5,99.5,도서관 → 시작점,도서관 → 복도 2 → 도서관 계단 → 복도 4 → 시작점
도서관,시작점,330,231.0,164.1,도서관 → 시작점,도서관 → 복도 2 → 도서관 계단 → 복도 4 → 시작점
도서관,시작점,270,189.0,132.0,도서관 → 시작점,도서관 → 복도 2 → 도서관 계단 → 복도 4 → 시작점
도서관,시작점,112,78.4,51.8,도서관 → 시작점,도서관 → 복도 2 → 도서관 계단 → 복도 4 → 시작점
도서관,시작점,286,200.2,144.9,도서관 → 시작점,도서관 → 복도 2 → 도서관 계단 → 복도 4 → 시작점
도서관,시작점,383,268.1,195.8,도서관 → 시작점,도서관 → 복도 2 → 도서관 계단 → 복도 4 → 시작점
도서관,시작점,144,100.8,70.0,도서관 → 시작점,도서관 → 복도 2 → 도서관 계단 → 복도 4 → 시작점
도서관,시작점,233,163.1,116.1,도서관 → 시작점,도서관 → 복도 2 → 도서관 계단 → 복도 4 → 시작점
도서관,매점,207,144.9,100.4,도서관 → 매점,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 매점
도서관,매점,385,269.5,196.3,도서관 → 매점,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 매점
도서관,매점,227,158.9,116.6,도서관 → 매점,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 매점
도서관,매점,447,312.9,222.1,도서관 → 매점,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 매점
도서관,매점,289,202.3,140.6,도서관 → 매점,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 매점
도서관,매점,476,333.2,239.5,도서관 → 매점,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 매점
도서관,매점,220,154.0,113.2,도서관 → 매점,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 매점
도서관,매점,332,232.4,164.0,도서관 → 매점,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 매점
도서관,매점,297,207.9,148.6,도서관 → 매점,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 매점
도서관,매점,236,165.2,117.8,도서관 → 매점,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 매점
도서관,학교 정문,324,226.8,158.2,도서관 → 학교 정문,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 학교 정문
도서관,학교 정문,271,189.7,132.9,도서관 → 학교 정문,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 학교 정문
도서관,학교 정문,414,289.8,205.2,도서관 → 학교 정문,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 학교 정문
도서관,학교 정문,195,136.5,98.1,도서관 → 학교 정문,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 학교 정문
도서관,학교 정문,279,195.3,138.1,도서관 → 학교 정문,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 학교 정문
도서관,학교 정문,151,105.7,73.0,도서관 → 학교 정문,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 학교 정문
도서관,학교 정문,394,275.8,197.0,도서관 → 학교 정문,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 학교 정문
도서관,학교 정문,212,148.4,102.5,도서관 → 학교 정문,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 학교 정문
도서관,학교 정문,180,126.0,87.7,도서관 → 학교 정문,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 학교 정문
도서관,학교 정문,101,70.7,50.5,도서관 → 학교 정문,도서관 → 복도 2 → 도서관 계단 → 복도 1 → 학교 정문
학교 정문,시작점,153,107.1,71.8,학교 정문 → 시작점,학교 정문 → 복도 1 → 계단 1 → 복도 4 → 시작점
학교 정문,시작점,323,226.1,165.6,학교 정문 → 시작점,학교 정문 → 복도 1 → 계단 1 → 복도 4 → 시작점
학교 정문,시작점,225,157.5,108.9,학교 정문 → 시작점,학교 정문 → 복도 1 → 계단 1 → 복도 4 → 시작점
학교 정문,시작점,271,189.7,135.0,학교 정문 → 시작점,학교 정문 → 복도 1 → 계단 1 → 복도 4 → 시작점
학교 정문,시작점,297,207.9,145.9,학교 정문 → 시작점,학교 정문 → 복도 1 → 계단 1 → 복도 4 → 시작점
학교 정문,시작점,423,296.1,207.3,학교 정문 → 시작점,학교 정문 → 복도 1 → 계단 1 → 복도 4 → 시작점
학교 정문,시작점,283,198.1,138.9,학교 정문 → 시작점,학교 정문 → 복도 1 → 계단 1 → 복도 4 → 시작점
학교 정문,시작점,354,247.8,180.0,학교 정문 → 시작점,학교 정문 → 복도 1 → 계단 1 → 복도 4 → 시작점
학교 정문,시작점,424,296.8,213.3,학교 정문 → 시작점,학교 정문 → 복도 1 → 계단 1 → 복도 4 → 시작점
학교 정문,시작점,297,207.9,147.5,학교 정문 → 시작점,학교 정문 → 복도 1 → 계단 1 → 복도 4 → 시작점
학교 정문,매점,339,237.3,172.5,학교 정문 → 매점,학교 정문 → 복도 1 → 매점
학교 정문,매점,300,210.0,148.2,학교 정문 → 매점,학교 정문 → 복도 1 → 매점
학교 정문,매점,425,297.5,214.5,학교 정문 → 매점,학교 정문 → 복도 1 → 매점
학교 정문,매점,358,250.6,179.9,학교 정문 → 매점,학교 정문 → 복도 1 → 매점
학교 정문,매점,445,311.5,222.6,학교 정문 → 매점,학교 정문 → 복도 1 → 매점
학교 정문,매점,246,172.2,121.5,학교 정문 → 매점,학교 정문 → 복도 1 → 매점
학교 정문,매점,298,208.6,145.7,학교 정문 → 매점,학교 정문 → 복도 1 → 매점
학교 정문,매점,227,158.9,113.7,학교 정문 → 매점,학교 정문 → 복도 1 → 매점
학교 정문,매점,459,321.3,225.9,학교 정문 → 매점,학교 정문 → 복도 1 → 매점
학교 정문,매점,250,175.0,125.4,학교 정문 → 매점,학교 정문 → 복도 1 → 매점
학교 정문,도서관,397,277.9,196.1,학교 정문 → 도서관,학교 정문 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
학교 정문,도서관,351,245.7,172.2,학교 정문 → 도서관,학교 정문 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
학교 정문,도서관,211,147.7,106.1,학교 정문 → 도서관,학교 정문 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
학교 정문,도서관,159,111.3,77.1,학교 정문 → 도서관,학교 정문 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
학교 정문,도서관,484,338.8,237.9,학교 정문 → 도서관,학교 정문 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
학교 정문,도서관,239,167.3,120.1,학교 정문 → 도서관,학교 정문 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
학교 정문,도서관,259,181.3,130.8,학교 정문 → 도서관,학교 정문 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
학교 정문,도서관,108,75.6,51.8,학교 정문 → 도서관,학교 정문 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
학교 정문,도서관,246,172.2,125.3,학교 정문 → 도서관,학교 정문 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
학교 정문,도서관,230,161.0,118.6,학교 정문 → 도서관,학교 정문 → 복도 1 → 도서관 계단 → 복도 2 → 도서관
